,Customer Name,Review Title,Rating,Reviews
0,Avinash,all-in-one Package,5.0 out of 5 stars,"  This is a version of the game that includes the base game and all DLC so it's definitely a great buy. The DLC is on a voucher that expires August 28, 2022. So there is no reason to buy this if you already own the first vanilla release.About the game:Best Spider-man game to date in terms of story and gameplay. Game takes around 15-20 hours to complete depending on your skill and how fast you intend to rush through the main story campaign. To collect everything and get platinum trophy it can take upwards to 40 hours. Overall, had a blast playing this game. If you're a fan of Spider-man or super hero games in general; it's a must buy."
1,ROHIT ROY,love this game ❤️,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   awsome game spiderman only available on ps4 consoles, i love this game ❤️ must buy amd play this game 😍"
2,Vibhor,DLC code not working,2.0 out of 5 stars,  The DLC code is not working and the cd is of middle east region. Returning the same.
3,Ashish vinayak.s,Incredible,5.0 out of 5 stars,  Wow its was incredible...the packaging looks great...and the graphics are incredible...
4,Mads,Fantastic game and a recommended buy,5.0 out of 5 stars,"  Delivery was spot on. Ordered it on 20th Jan 11am and was delivered on the same day 5pm. Coming to the product, this is a genuine region 2 copy of spiderman with dlc code which works with Indian Psn account. Would strongly recommend indian PSN users to buy this without worrying about the code issue. The game is spectacular in terms of swinging mechanism and graphics. The combat  part may get boring as you will be facing similar thugs most of the time but try out different suits and suit abilities to keep it interesting. Overall a strong 4.8/5"
5,Shubham Mohanty,Amazing,5.0 out of 5 stars,"  🔸Hands down one of the best PS4 games u can play. Everything from the swinging to the combat feels so fluid, you actually feel like you're Spiderman ! (A must have if ur a fan of “Spiderman” or “Batman Akham series”)🔸The delivery from Amazon was lightning fast, received it in one day. The dlc code also worked without any problems.🔸U get the following missions in the dlc :  • The Heist  • Turf Wars  • Silver Lining🔸 It takes about 17 hrs to complete the main story, and the dlc adds 3 hrs of extra gameplay. (But feel free to free roam around the city you'll enjoy every minute of it)."
6,Rachit M.,Middle East disc sent,1.0 out of 5 stars,  I was sent a Africa and middle East licenced only product. To play DLC Indian region licenced disc is required. Waste of time. Replacement ordered. Prospective buyers beware.
7,Sarath Kumar,Be the Spider-Man,5.0 out of 5 stars,"  Okay, handsdown the best spiderman game. Hell, best marvel game I would say. Even though developers have definitely took inspiration from Batman Arkahm franchise the combat in this feels fresh, the all different suit which you yourself can unlock without giving any money or as an pre-booking bonus feels very good. Also game is filled with Spider-Man Lore/comics reference. Expecting a sequel for this very spiderman-y game which does justice to both comics, has a fresh take on Spidey and villains we loved watching growing up. My rating is 9.2/10 . Minus .7 for being a small game and not including venom suit(for which they have some franchising ideas)"
8,Michael_Corvin,Game & Season Pass works on indian PSNas well,5.0 out of 5 stars,"  Ordered the product yesterday and got it today in the morning which was pretty amazing and that's also without Amazon prime. Anyway, for those who are worried that the season pass  works or not, the season pass code works and from the cover looks like it's from the middle east but the code for season pass inside the case ""will activate for Indian PSN accounts"". I've tried it myself and it works like a charm.Note: No censorship or anything in this game  unlike how it's with Assassins Creed Odyssey since it's from the middle east."
9,awe_flaw_some,"DLC code works, Disc works . All in English",5.0 out of 5 stars,"  After buying there was lot of apprehension as  this disc turned out to be R2 disc but it is imported by Sony India and Disc and DLC code all works fine. I was able to redeem code with my India PSN account and once all updates were done able to claim DLC content for free and download. I can only access the DLC content once I have completed one of the mission in main story, till then it is locked to play.But everything works. I am not sure why other people are saying that DLC code doesnt work for them. I chose cloudtail India as the seller may be thats why it worked for me"
10,Mihir Tyagi,Guide to redeem DLC code,4.0 out of 5 stars,"  I was a little skeptical before buying it because of mixed reviews whether the code will work in this edition or not. However, i bought it and got the game today and the code is working absolutely fine. After redeeming the code you will get a message that u got an Avtar. To download DLCs just go to ps store, search them  and click X on ur controller then you will get the download option. Download it and enjoy the game."
11,Bhavani,Disappointment.. Code doesn’t work.. pls don’t buy..,1.0 out of 5 stars,  Never buy. The main code for the game of the year edition given is not valid.Waster of money. 0 star to be given as i dont have option i have given 1 star.Very disappointed from amazon
12,Mohit Singh,DLC code is working. December 2019 review,5.0 out of 5 stars,"  Guys just purchased this game few minutes ago and the first thing is I've tried to redeem the code. It works.Don't know about the CD though but as of now, DLC code is working."
13,Rubik Azariah,Superb game but check the region before you opt for the GOTY edition,3.0 out of 5 stars,"  Great game, however the DLC for the Game of the Year Edition is tied to region 2 - which means it works for  Western Europe, the Middle East, South Africa, Egypt, and Japan. So just buy a standard version of the game and buy your DLC from you PS Store and save the grief. I will ultimately have to resort to that as there is no way to swap this DLC code.If you are a fan of the Arkham Batman games this will be equally good."
14,Violinist Sachin Satija,Its really awesome,5.0 out of 5 stars,"  Wow , Amazing Game, you would not get bored in it for a minute,Web slinging is amazingFighting with enemies and many combosUnlocking suits is easy as you progressExtra side missions like Car chases , puzzles , photography and many more"
15,Vishal P.,Works well,5.0 out of 5 stars,"  Even though the disc seems to be imported from Region 2 (R2 on the disc case suggests that which is the PSN code for middle east), the game works fine. Discs are not region locked.DLC is also working. So maybe they're getting the discs from region 2 and swapping out the DLC codes with Indian ones.Anyway, everything seems to work. 4 DLCs are offered which in total add up to about 12-15GB of downloads."
16,Akshit Gupta,Best Spiderman Game Ever,4.0 out of 5 stars,"  Pros:Most accurate portrayal of Spiderman/Peter ParkerGreat StoryBest Swinging SystemBig collection of suits and  gadgets and abilitiesGood boss fights(except task master)Cons:Side missions are repetitive and get boring fastFight mechanics could be improvedA lot of the gameplay feels very similar to the Arkham GamesOverall: It's the best Spiderman game I've ever played. It's fun and will keep you engaged for a long time especially if you have all the DLC's and decide to go for the Platinum Trophy .Main Playthrough will last 15-16 hours and completing the game in it's entirety could take you upto 30-35 hours ...if you play at a leisurely rate like myself. If you add in the DLC's, that's another 10-12 hours .I bought the Game of the Year Edition for 1500. It comes with all the DLC's (will have to be downloaded separately along with a game update ..it's around 30gb ...keep that in mind before purchasing)  and so to have a game that lasts around 40-50 hours, is based on one of your favourite characters and is totally fun, is well worth the money spent."
17,Sanjay kumar,The solution for DLC not working,4.0 out of 5 stars,  The game is great and awesome to play.The solution for dlc not working is after redeeming code go to ps store and search spiderman ps4 then go to the last of the page selecting add ons and yoy can see that All DLC are free to downlod
18,Balaharimurthy,Gooood game ❤️❤️,5.0 out of 5 stars,"  Excellent game and got in a day after ordering.In order to activate the Game of the Year, please put in the DLC code that comes in the cd box.Super graphicsSTORY will be usual one and You'll be able to play as Peter Parker , MJ and Mile Morale ( on select levels )"
19,Abilash km,Great products.,5.0 out of 5 stars,  The product was delivered on time and the packing was good. But the CD came out of the holder but not even an single scratch  on the disk. The dcl pack works and I have used the code. It works pretty well I didn't have any problems while playing it. You childhood dreams come true by swinging across the city as spider man. Nice story line till what I have played really loved it.
20,Ashwani Kumar,Go For It!,5.0 out of 5 stars,"  The game was delivered on time! I faced no issues with the DLC Code or with the Installation of the game, Also the gameplay is great, awesome game.You need to Put the DLC Code in PS Store, and then download the content inside the DLC from the PS Store."
21,Vipin,Become the Spiderman.,5.0 out of 5 stars,"  Awesome game. The action is great. The web swinging from one place to other itself is just superb, you are gonna get butterflies falling from buildings. You are really gonna feel that you are Spiderman. The main story of the game is also really good. If I had to nitpick I d say that the side quests seem repetitive but over all you are going to love this game."
22,Amazon Customer,Confusion resolved,5.0 out of 5 stars,"  It's an awesome game with great gameplay.I don't know why people in the reviews have fuss about the game not being of Indian region because the dlc code,language and gameplay works with Indian region and server.the gameplay is completely in english and dlc works with Indian PSN account.so overall this is a must buy and play game."
23,Amazon Customer,Works Perfectly Fine with DLC,5.0 out of 5 stars,"  Awesome, I was skeptical after reading some reviews stating it is for Middle East etc. However there was no such caveat, you will have full access to the DLC. However you will need Internet facility to download."
24,paras,Disappointed with product not with the game itself,3.0 out of 5 stars,  The game is very good but as being GOTY edition I expected all DLC and updates on disc but I had to download over 20 GB of update & and dlc code which I had to redeem it.But the game is very good and having a full game and DLC at very low price is very good.
25,Manoj singh,I'm getting hyped after playing this game,5.0 out of 5 stars,  Got it in ₹2100 amazon great indian festival sale & the game delivery was superfast awesome graphic & textures in game little disappointed that The dlc is not pre-loaded in the disc but you'll get a code inside the box for dlc which will be valid up to 2023 or 22 overall good experience hat's off Spidey & hat's off amazon
26,Gaurav,Still My Friendly Neighbourhood..,5.0 out of 5 stars,"  What's there to say that hasn't already been said about this game. Amazing gameplay, beautiful graphics, Heartwarming story, beautiful potrayal of Peter Parker till date among all forms of media, excellent side characters. Plus on top of all this, the game of the year edition gives you instant access to all the DLCs for the game."
27,rajesh s.,Awesome Game,5.0 out of 5 stars,"  Truly an amazing game(no pun intended). Easily the best spiderman game out there, amazing graphics, fluid combat and a variety of suits to choose from including the movie suits. An approx 20 GB update is needed to unlock some new suits for free like Sam Raimi suit, future foundation,bombastic bag man and both far from home suits. Had no problem redeeming DLC codes. DLC however also needs to be downloaded additionally. Overall a really great and enjoyable game with an incredible story."
28,Manohar Kanapaka,Bang for buck,5.0 out of 5 stars,  Amazing gameplay. Power moves and amazing storyline too. You can finish the game in like 1/2 weeks at a casual pace. Bonus content is available with this edition.
29,Dev,DLC not working,1.0 out of 5 stars,  DLC not working and this is not the GOTY edition. Return optionnalso not coming. Please replace with prpoper DVD.
30,Akash Kumar Soni,"Spectacular Masterpiece ... ""With great power comes great responsibility""",5.0 out of 5 stars,  Insomniac's Spiderman is simply the best spiderman experience you gonna find in your entire life...far far better than any spiderman movies or games ever made. ....just go for it and look for yourself..cloudtail is the best seller for ps4 games in india...Okay..now do the thing and order it right away...your friendly neighbourhood Spiderman...thank me later🤠✌️
31,Samar,Must buy .. amazing PS4 exclusive,5.0 out of 5 stars,"  Amazing game with so many DLC. The game will keep you engaged for so many hours.Swinging through NYC is a bliss. Game has zero performance issues, a great job by insomniac. Even if you don't like superheroes play the game."
32,Shadab,Not my type of game,3.0 out of 5 stars,  Bought this after all the hype but the game just didn't do it for me . Maybe iam too old for this type of stuff. Swinging around new york looks cool at first but just gets old very fast . Lost interest and stopped playing after few hours.
33,Nivedita,Got a used product,1.0 out of 5 stars,  The dlc code didn't work......And the was spotted
34,Phoenix,Worth the money even in 2021!,5.0 out of 5 stars,"  Great game, awesome storyline and amazing gameplay. Don't go by the negative reviews here. Everything is in perfect working order, even the DLCs.Go for it!"
35,Darpan Rai,Game cover broken,3.0 out of 5 stars,  The packaging of the game was not upto the mark.. The game cover was broken and there were few scratches and the booklet of the game were used one..
36,Lime for a dime,Bonus Bogus,4.0 out of 5 stars,  Game came is perfect condition and run smoothly. Only problem is with the digital bonus code!! It dosent work at all !!!
37,Amazon Customer,Not Satisfied,1.0 out of 5 stars,  Very Bad. Not satisfied with the product but happy with Amazon customer care they helped to get my refund done. Thanks Amazon team
38,Rahul G,Awesome Game but issues with DLC,2.0 out of 5 stars,"  The gameplay is amazing, you will definitely like it if you are a spiderman fan.  There was an update around 10 GB. The main issue was the DLC is for Europe and not working for me. Now I need to purchase it from PSN. I Will update here if the seller able to resolve it."
39,Mrinal Mukund,Don't worry about the DLC code,5.0 out of 5 stars,"  It may look like that that the disk is from another region and the DLC code will not work with Indian PSN account, but don't worry because this is the disk which they have officially launched in India and the DLC code works just fine. Just follow the instructions or check on Youtube about how to redeem and download the DLCs.. And the game is fantastic.."
40,Drieza,Great game!! Must for Playstation player.,4.0 out of 5 stars,"  Amazing Game!! 👏 Really and throughly enjoyed it. Hope it was longer but that just because it was too good. DLC should have been in the disc, DLC data wasn't too big to fit into that CD."
41,Rahul Dev Sharma,It's still AWESOME game after long time of release..,5.0 out of 5 stars,"  It is still awesome game. I am enjoying it a lot. Nice graphics and moves of spider man. Very good story line.About purchase, I got it on time. Nicely packed.No issues in any way."
42,Sumit Priyadarshi,Caught in the web: awesome game,4.0 out of 5 stars,"  This is the best INR 2000 I ever spent on a video game. The gameplay mechanics, diversity of NPCs and enemies to fight are just too good.The story is the best I have played since Unchartered 4. Relevance and depiction of Avengers universe plus other marvel relevant objects, landmarks, characters is spot on."
43,TANUJ,Worst experience,1.0 out of 5 stars,"  Dont ever buy this edition from this dealer as it won't work ,due to region problems"
44,Siddhesh Joshi,Amazing Spider-Man,5.0 out of 5 stars,"  Even if you are not a Spider-Man fan you will become one after playing this game. This is one of the best PS4 exclusives. It's amazing in all the aspects (Visuals, combat and storyline).Do not miss this game if you own a PS4."
45,Avinash Kamtikar,Amazing graphics. As good as watching your own movie.,5.0 out of 5 stars,  This game is superb. My son and his friends immerse themselves in the game.The graphics are amazing.Just go ahead & buy it.
46,Amardeep S.,Not good for the kids,3.0 out of 5 stars,  The controls for this game are too many and not much helpful for kids. Need to spend time on this game
47,Manu S,AWESOME GAME.,5.0 out of 5 stars,  Awesome visual experience both in normal PS4 and PS4 Pro(4k). Controls are awesome. Best superhero game..Period.
48,Sachet Patil,Amazing Spiderman 😍,5.0 out of 5 stars,"  Amazing purchase 😍 After playing Days gone and God of war i felt this game is too boring bt after 2-3 levels I feel too addicted now. Swinging through the towers, upgrading skills and fight with enemies are too much fun."
49,Piyush Anand,AWESOME !!! BUY IT !!!,5.0 out of 5 stars,"  The gameplay : SmoothWeb slinging : makes you feel like SpidermanThe music : Feels like watching Sam Rami movieThe story : Shocking , awesome , Heartbreaking at the same timeOverall :- Great Game ( But it's kinda sad that they changed Peters Face).DLCs are perfect  too."
50,Aditya,DLC works fine.,5.0 out of 5 stars,"  Warning - Very Addictive. 😉DLC worked fine for me. You just need to know how to use it. The City that never sleeps- The Heist, Turf wars, Silver lining. Download these 3 after applying the code."
51,ANIMESH R.,It's one of the best games I have ever played....,5.0 out of 5 stars,  This game is MASTERPIECE....You should definitely go for this game without thinking anything......the graphics are amazing....And it looks even better on a 4k TV....now is the best time to buy it....you should buy it from Amazon because it's better in selling physical games....
52,Aditya Patil,worst,1.0 out of 5 stars,  Plzz don't buy this game is corrupted and now I am not able to return it totally waste of money
53,Amazon Customer,Amazing game,5.0 out of 5 stars,"  This game will keep you hooked, ensure you order the one which includes 3 more game DLCs. For you to understand what is a DLC, it's like a completely new game with existing game continuation (atlest in this case).Good game in simple words"
54,Rajiv Vaddi,Best spiderman game ever,5.0 out of 5 stars,  If you hav a PS4 then you would have played this already. This is hands down best Spider-Man game ever made till date.
55,koshi mackenroe john,Graphic lover,5.0 out of 5 stars,  The Graphic is as good as God of war (the latest one). I like this game a lot. Looking forward for the next version of the game. The only glitch with the game is that you can travelled to another city except New York. Hope to see other cities in the next version
56,Darsh k.,Loved it,5.0 out of 5 stars,  Absolutely loved this game the Story is big and Different from the movie's and the Graphics are Awesome and it can be played out of the box no updates and no Glitches Packaging was also good.
57,Amazon Customer,Excellent game.,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Marvelous  and genuine product we got it .My son loved it."
58,Rishab Pal,One of the best superhero game of the decade.,5.0 out of 5 stars,"  It has got THE CITY THAT NEVER SLEEPS dlc included in it so no point in buying the GOTY edition if you already got the standard edition, just buy the dlc from PS Store. Nothing more to say as it's a fantastic game and the product arrived in time and in great condition."
59,jin,Every thing including DLC Working Fine,5.0 out of 5 stars,  Read some DLC Issue in review.But mine is working fine.Super fast Delivery and sealed pack brand new product received..
60,Avi Bhatnagar,A spectacular game that makes your collection aesthetic.,5.0 out of 5 stars,  Ps4 is known for it's exclusives and you won't be disappointed witnessing Spidey swinging around in Manhattan. This edition comes with all the DLCs so it's a bonus considering you don't wanna spend too much on a single game.
61,Shoaib,Great,5.0 out of 5 stars,  Great game must buyMy dlc has worked love marvelIt's is truly original and u can buy any game at Amazon...
62,surendra y.,Best game to buy,5.0 out of 5 stars,  My dad give me this game and for my big brother god of war but when I start the game it was so realistic and so fun to play
63,Manu Sharma,No English vocals.,1.0 out of 5 stars,  Middle East region game. No vocals in the game. Returning.
64,Kirat,Ok but didn't get the dlc,4.0 out of 5 stars,  I got the game it's pretty good but the dlc was not given only got a pfp code
65,Sagar Chatterjee,Go for it. It's a great game,5.0 out of 5 stars,  Amazing gameGame mechanics are amazingGraphics are amazing
66,DORABABU KORIPELLA,Don't buy,1.0 out of 5 stars,"  Not satisfied, it got strucked in very starting only. We got another one . But that is also same issue."
67,Suresh Kumar,"Awesome game, valid dlc code",5.0 out of 5 stars,  Awesome game. The dlc code inside the box works. Prompt delivery by Amazon.
68,ankita,DLC not working,1.0 out of 5 stars,"  The DLC just gave me an Spider-Man Avatar, no playable content. The game is a really awesome and immersive game. But still am returning it because of the DLC"
69,Sidharth,Very good product,5.0 out of 5 stars,  Good product works fine thank yoy amazon trust me its worth the buy
70,DR.AJIT.MENON,Great Game,5.0 out of 5 stars,  Great game. Must buy. Amazing delivery by Amazon.
71,Manansh,DLC is not working money wasted,1.0 out of 5 stars,"  DLC is not workingMy playstation store says it's purchased but my game keep taking me back, where the page says it's purchased"
72,NACHIKET GHORPADE,Go for it.,5.0 out of 5 stars,  Was a bit skeptical about DLC codes after reading other reviews. But decided to go for it and the codes worked. The game is a must play on ps4 and the graphics are just great.
73,Amazon Customer,I hope it will be good,5.0 out of 5 stars,  The order arrived when my dad was at home . Now I am left with the amazon package.😭
74,Prateek Singhal,MIDDLE EAST EDITION WORKING ON INDIAN PSN ACCOUNTS,5.0 out of 5 stars,"  Just got my Spider Man GOTY edition(ps4) middle east version. Guys,everything is working fine and DLC code is eedeemed. You need to redeem your code and download all the DLC missions(3 in total) seperately from PS store."
75,Krishna,best game ever played,5.0 out of 5 stars,"  Its really a amazing game , as it is expected to be 🤩 i just loved this game and the amazon dileverey was too good all sanitized.... i dont have words to explain my exclamation in context with this game 🥰"
76,Aarav,Awesome,5.0 out of 5 stars,  one of the best games on the ps4
77,Mohit,DLC Code not working,1.0 out of 5 stars,"  The DLC code given in the Game of the year edition does not work, so even if the code expired on Aug 2022, it doesn't matter, it's better to get the normal version and pay less for it."
78,afnaan,Best price ever grab it before it gets lost,5.0 out of 5 stars,  Best price deal got at half price as shown on ps storeLove the game and the dlcs seperate cost 1600 and the game has all the dlc plus game for 1300 best deal on amazon love it
79,Lakshmi ,SAVE WHILE YOU BUY,5.0 out of 5 stars,"  Fabulous game & no where else, we can get for this low price. Brand new & a beautiful edition"
80,Sunitha s.,Must buy to enjoy PS4.,5.0 out of 5 stars,  It was delivered in 2 days.DLC works perfectly.Got additional theme.All suits.Graphics are great.Thank you Amazon for a fast and safe delivery during Covid-19.
81,gaurav dhiman,I love it,5.0 out of 5 stars,  I have no words awsome very awsome game and graphics one of the best
82,ravi c.,Best Game,5.0 out of 5 stars,  Super game . Bought it at the time of lockdownRsdeem code works perfectly.perfect story mode and intresting DLC . Loved it thanks Amazon and PlayStation for Marvel Spidermam
